"Indicator","Target_Good","Value_Good","Target_Bad","Value_Bad"
"OEB","5%",0.040310516627573,"95%",0.110068042359857
"OEC","5%",0.0502918906602526,"95%",0.107185774436047
"NXA","-0.03943723",-0.03943723,"95%",0.0758340463749841
"SDA","-0.03943723",-0.03943723,"95%",0.0956434320945258
"SNM","0",0,"99%",1.31580126521806
"PSU","0",-2.40794560865187,"99%",5.40795646798955
"PRS","0",0,"4.5",4.5
"RCY","1",1,"1%",0.13483386020977
"MKP","100",100,"0",0
"MHP","100",100,"0",0
"MPE","0.01",-4.60517018598809,"100",4.60517018598809
"PAR","95%",0.2658875,"5%",0.047106245
"BER","95%",0.543577424512572,"5%",0.105434776938508
"SHI","100",100,"5%",96.58
"SPI","100",100,"0",0
"PAE","100",100,"5%",30.2727059925094
"PHL","100",100,"5%",82.4477824958816
"TBN","30",30,"0",0
"TKP","100",100,"0",0
"RLI","1",1,"5%",0.6916755
"PFL","0",-6.90775527898214,"99%",-3.00803271270334
"IFL","0",-9.21034037197618,"99%",-3.95335583172711
"FCL","0",-6.90775527898214,"99%",-4.0234814646388
"TCG","10",10,"-10",-10
"FLI","100",100,"0",0
"FSS","0",-2.30258509299405,"99%",2.86178510214356
"FCD","0",-4.60517018598809,"99%",-0.380111305490391
"BTZ","0",-2.30258509299405,"99%",-0.0815798297526695
"BTO","0",-2.30258509299405,"99%",0.0210641948257758
"RMS","0.015",0.015,"-0.015",-0.015
"WWG","5%",1.49643898586782,"95%",5.56720074705588
"WWC","1",1,"0",0
"WWT","1",1,"0",0
"WWR","1",1,"0",0
"COE","1%",-2.98481562222627,"99%",-0.283527821544537
"HFD","0.05",-2.99573227355399,"10000",9.21034037197618
"HFX","5%",-6.4042239543849,"99%",-0.00506751528377896
"NOD","5%",-3.67978463177711,"99%",2.83798073675294
"NOE","5%",-9.42174122883256,"95%",-3.25050886532741
"OZD","1",0,"250",5.52146091786225
"OZE","5%",-3.05599422873179,"99%",-1.89347855595917
"HPE","2.5",0.916290731874155,"95%",3.35269992312238
"SOE","5%",-8.17501470604374,"95%",-2.79800291385502
"VOE","5%",-7.2195601534912,"95%",-2.33117860871165
"LED","1%",4.13226464612795,"99%",7.62965163152219
"LEX","1%",0.0208056792637367,"99%",3.23059962207835
"WGI","1%",-0.289528967987713,"99%",9.6897147206549
"WPC","1%",-3.14583100491688,"99%",0.229425363529701
"WRR","1",1,"0",0
"SMW","1",1,"0",0
"USD","1%",-0.278968227652646,"99%",8.86285998926619
"UWD","1%",0.658396432372915,"99%",9.03008256863451
"USX","5%",-5.73867336375014,"95%",-0.347673160582476
"UWX","5%",0.0618905307949941,"95%",2.2111828131543
"CDA","-0.13",-0.13,"0.13",0.13
"CDF","100",100,"0",0
"CHA","-0.05",-0.05,"0.05",0.05
"FGA","-0.12",-0.12,"0.12",0.12
"NDA","-0.05",-0.05,"0.05",0.05
"BCA","-0.05",-0.05,"0.05",0.05
"GHN","0",0,"95%",13.885292501903
"GHI","0",-16.1180956509583,"99%",-12.5575770180655
"GHP","0",-7.01311579463996,"99%",-2.63818262656369
"GHA","-0.1",-0.1,"0.1",0.1
"LUF","-0.5",-0.5,"0.5",0.5
"GTI","100",100,"0",0
"GTP","100",100,"0",0
"CBP","1",1,"10",10
