Type,Abbreviation,Variable,Weight,NextLevel,IssueCategory,PolicyObjective,EPI Percent
EPI,EPI,Environmental Performance Index,,,,,
PolicyObjective,ECO,Ecosystem Vitality,0.45,EPI,,,
IssueCategory,BDH,Biodiversity & Habitat,0.5555556,ECO,,Ecosystem Vitality,25.00%
Indicator,MKP,Marine KBA Protection,0.12,BDH,Biodiversity & Habitat,Ecosystem Vitality,3.00%
Indicator,MHP,Marine Habitat Protection,0.12,BDH,Biodiversity & Habitat,Ecosystem Vitality,3.00%
Indicator,MPE,Marine Protection Stringency,0.02,BDH,Biodiversity & Habitat,Ecosystem Vitality,0.50%
Indicator,PAR,Protected Areas Representativeness Index,0.12,BDH,Biodiversity & Habitat,Ecosystem Vitality,3.00%
Indicator,SPI,Species Protection Index,0.16,BDH,Biodiversity & Habitat,Ecosystem Vitality,4.00%
Indicator,TBN,Terrestrial Biome Protection (national weights),0.1,BDH,Biodiversity & Habitat,Ecosystem Vitality,2.50%
Indicator,TKP,Terrestrial KBA Protection,0.1,BDH,Biodiversity & Habitat,Ecosystem Vitality,2.50%
Indicator,PAE,Protected Area Effectiveness,0.02,BDH,Biodiversity & Habitat,Ecosystem Vitality,0.50%
Indicator,PHL,Protected Human Land,0.02,BDH,Biodiversity & Habitat,Ecosystem Vitality,0.50%
Indicator,RLI,Red List Index,0.12,BDH,Biodiversity & Habitat,Ecosystem Vitality,3.00%
Indicator,SHI,Species Habitat Index,0.08,BDH,Biodiversity & Habitat,Ecosystem Vitality,2.00%
Indicator,BER,Bioclimatic Ecosystem Resilience,0.02,BDH,Biodiversity & Habitat,Ecosystem Vitality,0.50%
IssueCategory,ECS,Forests,0.1111111,ECO,,Ecosystem Vitality,5.00%
Indicator,PFL,Primary Forest Loss,0.3,ECS,Forests,Ecosystem Vitality,1.50%
Indicator,IFL,Intact Forest Landscape Loss,0.3,ECS,Forests,Ecosystem Vitality,1.50%
Indicator,FCL,Tree cover loss weighted by permanency,0.25,ECS,Forests,Ecosystem Vitality,1.25%
Indicator,TCG,Net change in tree cover,0.1,ECS,Forests,Ecosystem Vitality,0.50%
Indicator,FLI,Forest Lanscape Integrity,0.05,ECS,Forests,Ecosystem Vitality,0.25%
IssueCategory,FSH,Fisheries,0.04444444,ECO,,Ecosystem Vitality,2.00%
Indicator,FSS,Fish Stock Status,0.15,FSH,Fisheries,Ecosystem Vitality,0.30%
Indicator,FCD,Fish Catch Discarded,0.2,FSH,Fisheries,Ecosystem Vitality,0.40%
Indicator,BTZ,Bottom Trawling in EEZ,0.25,FSH,Fisheries,Ecosystem Vitality,0.50%
Indicator,BTO,Bottom Trawling in Global Ocean,0.35,FSH,Fisheries,Ecosystem Vitality,0.70%
Indicator,RMS,Regional Marine Trophic Index,0.05,FSH,Fisheries,Ecosystem Vitality,0.10%
IssueCategory,APO,Air Pollution,0.1333333,ECO,,Ecosystem Vitality,6.00%
Indicator,OEB,Ozone exposure KBAs,0.08333335,APO,Air Pollution,Ecosystem Vitality,0.50%
Indicator,OEC,Ozone exposure croplands,0.08333335,APO,Air Pollution,Ecosystem Vitality,0.50%
Indicator,NXA,Adjusted emissions growth rate for nitrous oxides,0.4166668,APO,Air Pollution,Ecosystem Vitality,2.50%
Indicator,SDA,Adjusted emissions growth rate for sulfur dioxide,0.4166668,APO,Air Pollution,Ecosystem Vitality,2.50%
IssueCategory,AGR,Agriculture,0.06666667,ECO,,Ecosystem Vitality,3.00%
Indicator,SNM,Sustainable Nitrogen Management Index,0.4,AGR,Agriculture,Ecosystem Vitality,1.20%
Indicator,PSU,Phosphorus Surplus,0.03333333,AGR,Agriculture,Ecosystem Vitality,0.10%
Indicator,PRS,Pesticide Pollution Risk,0.1666667,AGR,Agriculture,Ecosystem Vitality,0.50%
Indicator,RCY,Relative Crop Yield,0.4,AGR,Agriculture,Ecosystem Vitality,1.20%
IssueCategory,WRS,Water Resources,0.08888889,ECO,,Ecosystem Vitality,4.00%
Indicator,WWG,Wastewater generated,0.125,WRS,Water Resources,Ecosystem Vitality,0.50%
Indicator,WWC,Wastewater collected,0.375,WRS,Water Resources,Ecosystem Vitality,1.50%
Indicator,WWT,Wastewater treated,0.375,WRS,Water Resources,Ecosystem Vitality,1.50%
Indicator,WWR,Wastewater reused,0.125,WRS,Water Resources,Ecosystem Vitality,0.50%
PolicyObjective,HLT,Environmental Health,0.25,EPI,,,
IssueCategory,AIR,Air Quality,0.68,HLT,,Environmental Health,17.00%
Indicator,HPE,Anthropogenic PM2.5 exposure ,0.3823529,AIR,Air Quality,Environmental Health,6.50%
Indicator,HFD,Household solid fuels,0.3823529,AIR,Air Quality,Environmental Health,6.50%
Indicator,OZD,Ozone exposure,0.08823529,AIR,Air Quality,Environmental Health,1.50%
Indicator,NOD,NOx exposure,0.05882353,AIR,Air Quality,Environmental Health,1.00%
Indicator,SOE,SO2 exposure,0.02941176,AIR,Air Quality,Environmental Health,0.50%
Indicator,COE,CO exposure,0.02941176,AIR,Air Quality,Environmental Health,0.50%
Indicator,VOE,VOC exposure,0.02941176,AIR,Air Quality,Environmental Health,0.50%
IssueCategory,H2O,Sanitation & Drinking Water,0.2,HLT,,Environmental Health,5.00%
Indicator,USD,Unsafe sanitation ,0.4,H2O,Sanitation & Drinking Water,Environmental Health,2.00%
Indicator,UWD,Unsafe drinking water,0.6,H2O,Sanitation & Drinking Water,Environmental Health,3.00%
IssueCategory,HMT,Heavy Metals,0.08,HLT,,Environmental Health,2.00%
Indicator,LED,Lead exposure,1,HMT,Heavy Metals,Environmental Health,2.00%
IssueCategory,WMG,Solid Waste,0.04,HLT,,Environmental Health,1.00%
Indicator,WPC,Waste Generated Per Capita,0.4,WMG,Waste Management,Environmental Health,0.40%
Indicator,SMW,Controlled Solid Waste,0.2,WMG,Waste Management,Environmental Health,0.20%
Indicator,WRR,Waste Recovery Rate,0.4,WMG,Waste Management,Environmental Health,0.40%
PolicyObjective,PCC,Climate Change ,0.3,EPI,,,
IssueCategory,CCH,Climate Change Mitigation,1,PCC,,Climate Change ,30.00%
