STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,RUS,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Russian Federation,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,57483.48345175726,49432.26448638919,46691.131214782385,42936.43514177179,41852.7067092275,40898.16635850976,43239.130379101625,41994.24420375159,42020.9727517412,44725.68740421587,46973.50743433806,48136.385996802106,52006.055517324254,54877.79145555361,57640.73871583708,62015.107586984996,65708.97817236092,68776.07830595606,64832.867529128016,67157.64365270382,69193.49429124928,71226.76413636305,72717.11945110813,73154.44376695709,72291.94473611,72345.55961648186,73933.64062274962,75826.89495274429,78166.24587072803,77508.76871295787,80869.73852170612,79314.0480990281,82266.07577425367,86143.34468395142
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDB,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,IDA blend,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,12325.95810206418,12332.215904886909,11982.425497168459,11745.672380494409,11718.054179742892,11867.087828452322,11734.649293175611,11732.26939414945,11594.506561807471,11640.249386726258,11758.392421627363,12197.914429815077,12396.347906464858,12940.837882681139,13373.09071870674,13783.881874516777,14112.453859540472,14317.887169467267,14753.042105532648,15201.01881708739,15474.275213397153,15893.880871804955,16329.260596329395,16874.903929144035,17121.279814359605,17062.598419044007,17309.256583100345,17716.632474708753,17850.074960200927,16990.37884316344,17105.146036830134,17284.90726802233,17136.706632301826,17378.99539138739
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,JAM,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Jamaica,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,21520.894676786516,21822.42188182353,23696.672983442386,23906.241218670515,24315.266427436913,24208.678846488732,23793.76146804149,23111.450331032454,23252.960670717068,23297.08227340423,23444.66226707816,23704.748176250836,24352.054292942663,24359.05265549607,24321.52616521933,24770.210387595627,24858.632853102434,24413.85399532279,23992.28764671138,24023.313380210246,24054.746246085455,23764.82060400334,23395.601297965834,22836.790731497884,21713.917019451786,22239.512517854233,21980.900132104012,21942.249645214582,21553.082432154522,20543.46374624564,20945.631506633068,21263.52459421915,21718.15065097155,21558.282904310458
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SVK,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Slovak Republic,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,34275.37959303382,32729.27599132048,34083.213325507204,37777.78266012517,39349.87871575613,40306.730810109446,42726.339933567244,44676.262466308486,45874.235879364074,47000.8824750528,48004.26827130408,49617.10820319977,50755.62174249076,53801.7965246882,56223.026500090185,59289.12567446445,64102.53368412463,65501.0127826146,63941.28431503804,69882.96259863664,70970.14968714892,71736.83217672184,72268.57809875725,71236.80065749974,75024.07266894972,74439.81295666369,75449.1474894099,77409.04580342579,78732.8431113351,78329.169221545,81372.35693481752,80160.83821968685,81559.1712164859,82998.61071711619
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SAU,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Saudi Arabia,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,247071.84532256998,244907.89523001396,235179.27341632554,227293.77610127607,217899.26141573573,215056.44838526179,211230.7209404521,207949.51162651178,198124.31146254728,193948.80871732568,185410.7211075474,175351.55908281612,179612.65110451152,183263.85426129805,182019.90519899537,176068.92425301237,167599.90298502526,165479.13979327018,154289.00768237349,156202.01530380716,159509.9086655083,154332.62020428455,144885.64548023586,143555.83060827365,138413.71957183618,133235.49309479477,139472.1211023246,147831.45538359965,146094.1216038157,133717.5525768119,141331.55063038613,148001.84851646775,138608.9945888793,134346.01905900013
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LBR,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Liberia,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,4323.611722008583,2644.9596638032926,1699.1289998693528,1328.079473569937,1256.854109237845,1365.9273142874215,2599.072971599067,3052.044739307278,3511.391374135309,4349.085185111447,4345.251940353276,4391.304150783493,3050.969832674935,3094.629346242742,3117.5878267671087,3179.3644825431043,3316.070106377409,3411.2184099385,3479.5096143605847,3586.0409466091355,3707.2287769157956,3846.2399124940175,4091.8336929077036,4036.073954726523,3967.5363187520325,3840.433592014346,3851.2797796140017,3810.662682382527,3632.1359747656975,3501.930463153592,3552.533379961281,3560.5942216866288,3613.202663428064,3649.1579864086143
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PST,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Post-demographic dividend,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,80650.69404217882,81898.21457814699,82637.4662643623,84098.27361195021,85553.10675800803,87189.96705259274,88955.89162444952,90826.6202554934,92887.50004425731,95363.03471605774,96390.9242213162,97611.97379661056,99085.11996146478,101435.1339644536,102935.5848278992,104490.27071434975,105982.29742425708,105935.00927840272,104362.57140515727,107570.41013605511,108926.47896321464,109424.64006665224,110360.56550233917,111188.9936615709,112180.62628239206,112744.7812903603,114030.39579529128,115009.05997845686,115724.25902389157,114118.45092510263,118878.93410061607,122183.0639404409,122630.81863938857,124069.95184836931
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GUY,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Guyana,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,16354.916171569035,17390.02575202712,18539.604374095576,20142.59687081945,21230.098705508717,23012.534270774893,24572.289664533517,24339.88474461671,25250.435496194765,25121.1491486615,25852.395486965343,26342.20070712848,25970.39187983488,26162.620216535284,25460.49972225469,26503.375148789484,28294.0551393555,28701.667397755362,29698.356023666885,30922.483787542387,32506.66345552207,34171.15287927136,35320.29210489417,35847.7136212042,36042.58405065434,37320.07002955798,38605.76846653749,38831.13670375575,42536.58306597554,63555.020936026005,74637.1640175181,118842.0548632806,159143.84032124304,223269.37051086663
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Uzbekistan,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,11608.385034028002,9939.573618903434,9617.58295171073,9036.106237975313,8755.4395720576,8970.963133285153,9271.25356405838,9721.890809171742,9922.655551756838,9956.509670885796,10018.762665913651,10058.44541529205,10136.57540632676,10581.259079293292,10992.053434678486,11478.081025238322,12240.63582041905,13122.178910631383,13961.755144913803,14791.697379847481,15552.96258610523,16379.65145780402,17330.63902053787,18332.78865961208,19450.986791634212,20360.647972598385,21125.69744711763,21953.021969669124,23088.171472425955,23623.16944110934,24928.073219051093,25817.526660302636,27043.84313584321,28469.462112377892
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AZE,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Azerbaijan,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,22455.986990526202,16877.70713516295,12766.743634611337,10009.486572539703,8624.672103781888,8684.966821313732,9183.335972357472,10105.546022669552,10803.016780346554,11984.949031638906,13113.39906477633,14287.217629001152,15661.688083409961,17147.969697393783,21763.416961325453,29224.511497304626,37588.14657080462,40838.78416143249,43290.45080402731,44653.70309366311,42973.569476864766,43015.929058519345,44838.515086356536,45113.75965297512,44736.24289136832,42334.66435048566,41818.21181629467,41719.530573538876,42436.74719951701,40037.08530733362,44799.87548972765,45144.29541812133,45771.30830973543,47519.531292493564
