STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Zambia,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1521.6241693724317,1534.0012993897715,1505.0264793546191,1606.6694364934515,1464.0561172068767,1501.391062506916,1584.581663474422,1631.1731384515272,1600.628251559959,1653.8364953664934,1708.5155261592731,1785.067113854762,1837.0658517203458,1942.2152087164745,2067.9372845653033,2212.812025535956,2377.992397782109,2554.6893762921773,2708.0081966910125,2872.4641836626793,3097.664004992428,3228.487142550391,3323.6331221985643,3477.281787776828,3441.3149764377495,3337.473068876963,3313.35121570029,3391.627684927748,3442.2730719630176,3361.3975029961207,3157.300093116429,3503.034914183715,3840.7245051113887,4076.995086866413,4214.892778047992
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GMB,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,"Gambia, The","GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1409.3272189485954,1440.4397390308347,1462.3868892748703,1486.6233214068945,1472.5548566366033,1472.1976250790512,1488.8005539719097,1544.2119676582167,1571.504592377192,1649.2795257878083,1731.3384764555014,1822.9796510576957,1743.6943251192888,1849.7833700541817,1978.6326268998423,1938.0236274219355,1930.818885376739,1985.0402524249969,2088.271661290334,2177.0534469560657,2266.8289823844175,2064.2538528829996,2064.814381216122,2006.7408164678782,1933.7032971844612,1990.3162575097251,2012.6764818025122,2038.954298501285,2277.4423622419094,2421.7231807061476,2530.804149373073,2777.79620978324,3067.31040374628,3289.1328305710667,3475.612457013406
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HTI,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Haiti,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2202.2277471918983,2272.762271859221,2157.5971330494676,2048.2434532758184,1806.8230358226133,1989.016473808822,2069.6145413212384,2121.8494007525246,2152.00366307537,2200.589534856061,2228.50133637731,2229.8439672307486,2247.9789661465406,2330.9187393338293,2322.1978679869126,2427.4480855139336,2503.659326819782,2647.4953861343033,2724.459228266331,2855.1597138549378,2694.9110413731546,2858.1964597943474,2830.190805597091,3042.4970687870987,3075.738438370623,3025.834617282584,3253.471786416136,3339.3888465344608,3196.973863706142,3236.974925046073,3103.180663124616,3145.006810572685,3275.4071812634534,3291.738178870665,3193.67136419915
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SSD,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,South Sudan,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,2887.3741593287828,2911.042972987796,2948.0500149385025,2718.0484785075187,1417.38566439045,1916.853558861905,1372.7561849114584,1154.8868630410666,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PAN,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Panama,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,4650.670953591226,5150.314083079979,5581.622213511748,5901.782226990772,6073.153528968823,6181.7154486247655,6420.512552708465,6894.691043220537,7407.549840651636,7748.835968353021,8097.295780079652,8197.15760528353,8370.303375319174,8800.566631315669,9591.602887107521,10511.022024159067,11684.555023096398,13332.86609350168,14705.371431495467,14765.73801885717,15572.57869853226,17473.765116548864,19473.251491839008,21923.675084334063,24376.080859960413,27245.278840263127,30276.70884961947,33533.32602164997,32463.5403500842,33239.73322761856,27017.003379090605,30932.762780914454,36333.12691843586,39813.385793997215,41369.422541498956
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TMN,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3747.2260170978184,4037.3343228121316,4208.266089848537,4246.866595648234,4301.9178203560905,4408.948454833836,4644.069979975493,4766.508782130984,4962.961036576266,5135.587368022867,5450.549549826432,5609.724125103818,5770.483595179811,5907.022713253748,6390.750790071208,6748.108425299402,7168.727906632712,7629.876581941141,7849.74336187149,7924.518988396332,8226.600001384617,8253.51112061459,8427.119024396115,8403.643010269527,8295.440346470075,7985.2389307889225,8093.359028886194,8425.40895279855,8763.528978987602,8780.399406272702,8910.909858694795,9439.858096035563,10405.47394259339,10905.747298367214,11271.564355007054
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Indonesia,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3043.9419750941206,3305.3639330869305,3538.4843126036017,3792.594657262789,4095.99846606786,4451.000212876135,4807.0926728128015,5037.221523877079,4355.779973970043,4385.93971371397,4639.039426394644,4848.55580110852,5076.164381595361,5352.507503915311,5700.049495357608,6134.1667301082025,6583.351123580457,7096.387689167336,7569.25304691272,7868.148183335538,8353.456847332489,8936.992155494536,9530.290711367177,9866.01699250847,10064.677127417008,10027.537299602549,10262.595165187096,10687.64092184431,11372.097198761187,11986.47015083764,11729.36744584478,12757.07464402037,14284.929293132958,15415.707925952724,16448.275517955855
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDA,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,IDA total,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1450.339450143436,1492.1841825527283,1519.6450908154568,1528.352133397063,1535.1625465489083,1581.2782782767251,1645.069101236074,1695.361413092321,1729.8105952429798,1767.9316330858044,1839.6751466122987,1914.734206334533,2006.4734567072926,2101.0691299940418,2252.4912547536483,2412.9565179797273,2579.3103220416147,2742.5073005849154,2870.270249017767,2966.3628219214993,3112.434426567522,3245.479382095332,3356.2324374090913,3530.4515234539526,3728.3872961511042,3818.7109831016714,3917.1014716451614,4111.12734168174,4252.997298130693,4462.592386227992,4471.410300391078,4760.442118664902,5219.703455393812,5459.151497075354,5710.14462861054
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,FRO,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Faroe Islands,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,41160.10850928542,39330.59644547499,39766.591102921455,42133.21514869829,46196.842824186024,49780.84160327195,53198.41385389144,53684.36716534628,54318.30393218934,56416.23195005742,58933.1314753804,62223.44305143453,61650.85122568065,68426.79432188983,75265.6585388594,79694.92979175801,81908.77817850176
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Europe & Central Asia,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,11857.270573900945,12103.63132420798,12116.716908306571,12208.440138166232,12423.490186298286,12901.973361648837,13339.834889030572,13920.7791476328,14203.790348521168,14763.841320302683,15905.798403436327,16707.649419188398,17502.293888247474,18177.35121349536,19302.938827991657,20349.538818237223,22536.86070735963,24174.178158265142,25824.50900303769,25126.16829747396,26193.13440457898,27781.731127452076,28531.51650999405,29838.51695159752,30599.386552494256,31036.627097246426,32453.913993142494,34200.01597732157,35921.01359774858,38545.98063497515,38031.37039329633,42315.38608749031,47640.048746179295,50252.44901266789,52463.14658038396
