STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024,2026
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SDN,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Sudan,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ZWE,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Zimbabwe,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,PRY,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Paraguay,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,TLS,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Timor-Leste,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,,,,,,,,3.0,2.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SLE,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Sierra Leone,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BWA,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Botswana,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MYS,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Malaysia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,DOM,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Dominican Republic,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SAU,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Saudi Arabia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,DZA,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Algeria,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
