STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MNG,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Mongolia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GUY,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Guyana,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0,3.0,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OSS,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Other small states,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.3333333333333335,3.0714285714285716,3.142857142857143,3.142857142857143,3.2142857142857144,3.2857142857142856,3.142857142857143,3.142857142857143,3.142857142857143,3.142857142857143,3.0714285714285716,3.0714285714285716,3.0714285714285716,3.0714285714285716,3.2142857142857144,3.2142857142857144,3.142857142857143,3.2142857142857144,3.2142857142857144,3.25
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BDI,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Burundi,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SOM,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Federal Republic of Somalia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,2.0,,2.0,2.0,2.0,2.0,2.5,2.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Indonesia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.5,3.0,,,,,,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MLI,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Mali,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0,3.0,3.5,3.0,3.0,3.0,3.5,3.5,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SSF,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Sub-Saharan Africa,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.054054054054054,2.9864864864864864,3.0,2.945945945945946,2.9210526315789473,2.986842105263158,3.1315789473684212,3.128205128205128,3.08974358974359,3.1710526315789473,3.223684210526316,3.1710526315789473,3.1794871794871793,3.210526315789474,3.230769230769231,3.2564102564102564,3.230769230769231,3.282051282051282,3.269230769230769,3.2875
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TGO,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Togo,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AZE,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Azerbaijan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BFA,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Burkina Faso,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SST,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Small states,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.25,3.176470588235294,3.2058823529411766,3.2058823529411766,3.235294117647059,3.264705882352941,3.1578947368421053,3.175,3.175,3.175,3.15,3.125,3.125,3.15,3.2,3.2857142857142856,3.238095238095238,3.261904761904762,3.261904761904762,3.3125
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TON,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Tonga,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Uzbekistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Afghanistan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,2.0,2.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,2.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Europe & Central Asia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.2,3.1,3.1875,3.1875,3.1666666666666665,3.2222222222222223,3.125,3.1875,3.1875,3.2,3.2,3.2,3.2,3.3,3.4,3.25,3.25,3.25,3.375,3.375
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Arab World,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.6,2.7,2.7,2.7,2.7,2.5833333333333335,2.7,2.5,2.5,2.5,2.5,2.5833333333333335,2.5833333333333335
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Zimbabwe,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.5,2.5,2.5,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SWZ,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Eswatini,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,3.5
